pass1_rank,candidate_id,pass1_score,professional_band,band_id,subtype,current_title,years_experience,current_company,location,open_to_work,days_since_active,response_rate,notice_period_days,willing_to_relocate,retrieval_raw,ranking_raw,evaluation_raw,production_raw,ownership_raw,skill_corroboration,positive_evidence,negative_evidence,risk_flags
152,CAND_0052335,326.932000,applied_ml,3,search_ranking,Applied ML Engineer,6.4,Aganitha,Berlin,True,52,0.790,60,True,1.4400,2.1721,2.6521,0.5889,2.8996,0.0000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.",,weak:salary_range_inverted
153,CAND_0095619,323.020000,applied_ml,3,search_ranking,NLP Engineer,15.6,Nykaa,"Mumbai, Maharashtra",True,46,0.900,30,False,1.1000,2.1721,2.0721,0.4808,1.4142,1.6500,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | MLflow assessment 89.9/100",,
154,CAND_0076163,322.972000,applied_ml,3,search_ranking,NLP Engineer,6.9,Ola,"Chandigarh, Chandigarh",True,22,0.840,60,False,1.6800,3.0766,3.0766,0.4808,2.2345,1.2000,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | BM25 assessment 91.8/100",,weak:repeated_role_description
155,CAND_0081053,321.964000,applied_ml,3,ml_platform,NLP Engineer,5.4,Glance,"Chandigarh, Chandigarh",True,62,0.830,90,True,0.4400,1.2602,0.5800,3.3446,3.0608,0.4500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store.",90-day notice period,weak:skill_duration_overrun
156,CAND_0064904,321.924000,applied_ml,3,ml_platform,AI Engineer,4.9,LinkedIn,"Hyderabad, Telangana",True,76,0.780,90,False,0.0000,1.6802,0.5800,3.3446,3.0608,2.2500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | Forecasting assessment 82.5/100",90-day notice period,weak:activity_before_signup | weak:skill_duration_overrun
157,CAND_0058688,321.892000,applied_ml,3,ml_platform,AI Engineer,6.7,Vedantu,Berlin,True,65,0.740,15,True,0.1414,1.3011,0.9200,3.5935,2.5800,1.0500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | scikit-learn assessment 66.7/100",,
158,CAND_0010257,321.876000,applied_ml,3,ml_platform,Senior Data Scientist,6.5,Google,"Noida, Uttar Pradesh",True,19,0.720,120,True,0.5800,1.6000,1.6369,3.5000,3.4854,2.8500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | OpenSearch assessment 90.5/100",120-day notice period,
159,CAND_0016163,321.876000,applied_ml,3,ml_platform,Applied ML Engineer,6.7,Dream11,"Gurgaon, Haryana",True,51,0.720,120,False,0.8202,0.9200,0.5800,3.6369,3.6408,0.6000,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | Weaviate assessment 88.3/100",120-day notice period,weak:repeated_role_description
160,CAND_0027691,321.844000,applied_ml,3,ml_platform,NLP Engineer,6.5,Haptik,"Pune, Maharashtra",True,62,0.680,15,False,1.1046,2.0468,1.5000,3.1689,2.8202,2.7000,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | Weaviate assessment 79.3/100",,weak:skill_duration_overrun
161,CAND_0027801,321.820000,applied_ml,3,ml_platform,NLP Engineer,7.4,InMobi,"Hyderabad, Telangana",True,50,0.650,120,False,0.8202,1.6802,1.0608,3.2600,2.5800,1.0500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | FAISS assessment 81.5/100",120-day notice period,weak:repeated_role_description
162,CAND_0046132,321.052000,applied_ml,3,recommendation,AI Research Engineer,4.3,Verloop.io,"Noida, Uttar Pradesh",True,6,0.940,30,False,1.5200,2.7169,0.0000,1.9200,1.9200,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,
163,CAND_0090300,321.052000,applied_ml,3,relevance_ownership,AI Research Engineer,5.3,Dream11,San Francisco,True,8,0.940,120,True,1.4200,1.7369,0.0000,1.9200,1.5800,0.4500,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production. | Feature Engineering assessment 56.1/100,profile states limited ownership of modeling or deployment | 120-day notice period,
164,CAND_0078785,321.028000,applied_ml,3,relevance_ownership,AI Research Engineer,6.3,CRED,"Chandigarh, Chandigarh",True,9,0.910,120,False,1.4200,0.0000,0.0000,1.9200,1.5800,0.0000,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images.,profile states limited ownership of modeling or deployment | 120-day notice period,weak:repeated_role_description
165,CAND_0080534,321.028000,applied_ml,3,recommendation,ML Engineer,3.8,Genpact AI,"Vizag, Andhra Pradesh",True,6,0.910,30,False,0.0000,3.5330,0.0000,1.9200,1.9200,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | OpenSearch assessment 65.2/100",profile states limited ownership of modeling or deployment,weak:repeated_role_description
166,CAND_0023587,321.020000,applied_ml,3,recommendation,ML Engineer,3.2,Swiggy,"Bhubaneswar, Odisha",True,10,0.900,120,False,0.0000,2.6761,0.0000,1.3400,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,weak:skill_duration_overrun
167,CAND_0086893,321.020000,applied_ml,3,recommendation,ML Engineer,3.9,Unacademy,"Bangalore, Karnataka",True,7,0.900,90,True,0.0000,2.5761,0.0000,1.3400,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,
168,CAND_0096209,321.020000,applied_ml,3,recommendation,ML Engineer,4.2,Glance,"Trivandrum, Kerala",True,7,0.900,90,False,0.1000,2.5761,0.0000,2.1602,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,
169,CAND_0008295,321.012000,applied_ml,3,relevance_ownership,AI Research Engineer,6.5,Razorpay,"Pune, Maharashtra",True,6,0.890,45,True,1.4200,0.5889,0.0000,0.9200,1.5800,0.4500,Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. | BM25 assessment 59.1/100,profile states limited ownership of modeling or deployment,
170,CAND_0065786,321.012000,applied_ml,3,recommendation,AI Specialist,4.9,Swiggy,"Indore, Madhya Pradesh",True,9,0.890,45,False,0.6800,4.1138,0.0000,2.1602,1.9200,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Learning to Rank assessment 52.7/100",profile states limited ownership of modeling or deployment,weak:repeated_role_description
171,CAND_0089012,321.004000,applied_ml,3,recommendation,AI Specialist,4.2,TCS,"Mumbai, Maharashtra",True,104,0.880,60,False,0.0000,2.3361,0.0000,1.3400,1.3400,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | NLP assessment 80.0/100",profile states limited ownership of modeling or deployment | career history is entirely in named services/consulting companies,weak:activity_before_signup
172,CAND_0025640,320.996000,applied_ml,3,recommendation,AI Research Engineer,5.6,HCL,"Jaipur, Rajasthan",True,29,0.870,30,False,1.5614,2.3361,0.0000,1.3400,1.9200,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | FAISS assessment 74.9/100",profile states limited ownership of modeling or deployment,weak:salary_range_inverted
173,CAND_0006538,320.988000,applied_ml,3,recommendation,AI Specialist,5.7,Dream11,"Kolkata, West Bengal",True,56,0.860,60,True,0.5800,2.9664,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,
174,CAND_0007596,320.988000,applied_ml,3,recommendation,Junior ML Engineer,4.4,Flipkart,"Delhi, Delhi",True,10,0.860,45,False,0.1000,2.5761,0.0000,1.9200,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | scikit-learn assessment 52.8/100",profile states limited ownership of modeling or deployment,
175,CAND_0060715,320.988000,applied_ml,3,recommendation,ML Engineer,3.3,Genpact AI,"Ahmedabad, Gujarat",True,6,0.860,120,False,0.0000,2.7169,0.0000,1.3400,1.3400,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | FAISS assessment 85.4/100",profile states limited ownership of modeling or deployment | career history is entirely in named services/consulting companies | 120-day notice period,
176,CAND_0084283,320.988000,applied_ml,3,recommendation,Junior ML Engineer,3.6,Sarvam AI,"Pune, Maharashtra",True,61,0.860,30,True,0.0000,2.2361,0.0000,1.3400,1.3400,1.2000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Elasticsearch assessment 70.4/100",profile states limited ownership of modeling or deployment,weak:skill_duration_overrun
177,CAND_0015065,320.972000,applied_ml,3,recommendation,AI Research Engineer,3.9,Flipkart,"Delhi, Delhi",True,20,0.840,90,True,1.5200,2.8169,0.0000,2.1602,1.3400,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Learning to Rank assessment 78.9/100",profile states limited ownership of modeling or deployment | 90-day notice period,
178,CAND_0024147,320.972000,applied_ml,3,recommendation,ML Engineer,5.9,Ola,"Jaipur, Rajasthan",True,59,0.840,60,False,0.0000,2.8583,0.0000,1.9200,1.5800,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Qdrant assessment 63.7/100",profile states limited ownership of modeling or deployment,
179,CAND_0033179,320.972000,applied_ml,3,recommendation,AI Research Engineer,6.9,Wipro,"Ahmedabad, Gujarat",True,10,0.840,30,True,1.5200,2.8250,0.0000,1.9200,1.5800,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | scikit-learn assessment 75.6/100",profile states limited ownership of modeling or deployment,
180,CAND_0046459,320.972000,applied_ml,3,relevance_ownership,AI Research Engineer,4.5,upGrad,"Pune, Maharashtra",True,53,0.840,30,False,1.5200,0.0000,0.0000,1.3400,1.9200,0.0000,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images.,profile states limited ownership of modeling or deployment,
181,CAND_0004402,320.964000,applied_ml,3,recommendation,AI Research Engineer,6.0,Yellow.ai,"Delhi, Delhi",True,7,0.830,60,False,1.4200,2.3361,0.0000,1.9200,1.5800,1.5000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | PyTorch assessment 84.9/100",profile states limited ownership of modeling or deployment,
182,CAND_0023559,320.964000,applied_ml,3,recommendation,Data Scientist,4.7,upGrad,"Kolkata, West Bengal",True,64,0.830,90,False,0.0000,2.2361,0.0000,1.9200,1.9200,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,weak:salary_range_inverted
183,CAND_0047521,320.964000,applied_ml,3,recommendation,Junior ML Engineer,4.4,HCL,"Mumbai, Maharashtra",True,24,0.830,120,False,0.0000,3.8730,0.0000,1.9200,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | scikit-learn assessment 51.3/100",profile states limited ownership of modeling or deployment | 120-day notice period,weak:repeated_role_description
184,CAND_0065835,320.964000,applied_ml,3,recommendation,Junior ML Engineer,3.3,HCL,"Chennai, Tamil Nadu",True,69,0.830,60,False,0.0000,2.2361,0.0000,1.3400,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | TensorFlow assessment 54.8/100",profile states limited ownership of modeling or deployment | career history is entirely in named services/consulting companies,weak:skill_duration_overrun
185,CAND_0073007,320.964000,applied_ml,3,recommendation,AI Specialist,5.8,Aganitha,"Bangalore, Karnataka",True,25,0.830,60,False,0.0000,2.2361,0.0000,1.9200,1.5800,0.9000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Embeddings assessment 45.8/100",profile states limited ownership of modeling or deployment,
186,CAND_0001218,320.956000,applied_ml,3,recommendation,AI Specialist,6.4,Nykaa,San Francisco,True,84,0.820,90,False,0.1000,4.1219,0.0000,1.9200,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,weak:repeated_role_description
187,CAND_0035879,320.956000,applied_ml,3,recommendation,AI Research Engineer,4.5,Krutrim,"Noida, Uttar Pradesh",True,6,0.820,120,False,1.4200,2.8250,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,
188,CAND_0068932,320.956000,applied_ml,3,recommendation,ML Engineer,5.2,Krutrim,"Noida, Uttar Pradesh",True,6,0.820,30,True,0.0000,2.5761,0.0000,1.9200,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,
189,CAND_0038099,320.948000,applied_ml,3,recommendation,Junior ML Engineer,5.4,Locobuzz,"Bhubaneswar, Odisha",True,49,0.810,90,False,0.1000,2.5761,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,
190,CAND_0043860,320.948000,applied_ml,3,recommendation,Junior ML Engineer,6.1,Aganitha,"Bhubaneswar, Odisha",True,6,0.810,30,True,0.1414,2.2361,0.0000,1.9200,1.5800,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Information Retrieval assessment 83.5/100",profile states limited ownership of modeling or deployment,
191,CAND_0053527,320.948000,applied_ml,3,recommendation,Junior ML Engineer,7.0,PhonePe,"Bangalore, Karnataka",True,5,0.810,90,False,0.0000,2.2361,0.0000,1.9200,1.9200,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Qdrant assessment 57.6/100",profile states limited ownership of modeling or deployment | 90-day notice period,
192,CAND_0002426,320.940000,applied_ml,3,recommendation,Data Scientist,3.3,Freshworks,"Ahmedabad, Gujarat",True,46,0.800,60,False,0.0000,2.7169,0.0000,1.3400,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,weak:skill_duration_overrun
193,CAND_0008517,320.940000,applied_ml,3,relevance_ownership,AI Research Engineer,5.6,Locobuzz,"Noida, Uttar Pradesh",True,68,0.800,120,True,1.4200,1.7369,0.0000,1.1602,1.5800,0.4500,Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard.,profile states limited ownership of modeling or deployment | 120-day notice period,weak:salary_range_inverted
194,CAND_0021410,320.940000,applied_ml,3,recommendation,Junior ML Engineer,4.0,Krutrim,"Hyderabad, Telangana",True,8,0.800,60,False,0.0000,4.1219,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,weak:repeated_role_description
195,CAND_0000422,320.932000,applied_ml,3,relevance_ownership,AI Research Engineer,6.3,Haptik,"Kolkata, West Bengal",True,69,0.790,90,False,1.4200,1.3969,0.0000,0.9200,1.9200,0.6000,Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. | Python assessment 76.9/100,profile states limited ownership of modeling or deployment | 90-day notice period,
196,CAND_0018013,320.924000,applied_ml,3,recommendation,AI Specialist,6.7,Sarvam AI,"Jaipur, Rajasthan",True,51,0.780,90,True,0.5800,2.3361,0.0000,1.9200,1.9200,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 90-day notice period,
197,CAND_0033749,320.924000,applied_ml,3,recommendation,Computer Vision Engineer,4.7,TCS,"Bhubaneswar, Odisha",True,89,0.780,120,False,0.1000,3.9730,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,weak:repeated_role_description
198,CAND_0043381,320.924000,applied_ml,3,recommendation,AI Research Engineer,3.6,PharmEasy,"Pune, Maharashtra",True,31,0.780,45,False,1.4200,2.8250,0.0000,1.3400,1.0000,1.2000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | scikit-learn assessment 77.3/100",profile states limited ownership of modeling or deployment,weak:skill_duration_overrun
199,CAND_0092706,320.924000,applied_ml,3,recommendation,AI Research Engineer,5.8,Unacademy,"Delhi, Delhi",True,5,0.780,120,True,1.4200,2.8250,0.0000,2.1602,1.0000,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Forecasting assessment 79.7/100",profile states limited ownership of modeling or deployment | 120-day notice period,weak:salary_range_inverted
200,CAND_0094165,320.924000,applied_ml,3,relevance_ownership,AI Research Engineer,5.8,PhonePe,"Chandigarh, Chandigarh",True,5,0.780,90,False,2.1000,0.3400,0.0000,1.9200,1.5800,0.0000,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production. | pgvector assessment 58.1/100,profile states limited ownership of modeling or deployment | 90-day notice period,weak:repeated_role_description
201,CAND_0014909,320.908000,applied_ml,3,recommendation,Computer Vision Engineer,4.8,Niramai,"Pune, Maharashtra",True,6,0.760,120,False,0.0000,2.5761,0.0000,1.9200,1.0000,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Python assessment 84.7/100",profile states limited ownership of modeling or deployment | 120-day notice period,
202,CAND_0019447,320.908000,applied_ml,3,relevance_ownership,AI Research Engineer,3.2,TCS,"Mumbai, Maharashtra",True,76,0.760,45,False,1.4200,0.4808,0.0000,1.9200,1.3400,0.4500,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images.,profile states limited ownership of modeling or deployment,weak:skill_duration_overrun
203,CAND_0054829,320.900000,applied_ml,3,recommendation,Computer Vision Engineer,5.7,BYJU'S,"Noida, Uttar Pradesh",True,88,0.750,45,False,0.0000,2.5761,0.0000,1.9200,1.5800,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Kubeflow assessment 81.7/100",profile states limited ownership of modeling or deployment,
204,CAND_0069248,320.900000,applied_ml,3,recommendation,AI Research Engineer,5.4,Unacademy,"Vizag, Andhra Pradesh",True,54,0.750,120,True,1.4200,2.7169,0.0000,1.9200,1.9200,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,
205,CAND_0037160,320.892000,applied_ml,3,recommendation,Data Scientist,6.0,Haptik,"Mumbai, Maharashtra",True,65,0.740,30,False,0.1000,2.5761,0.0000,2.1602,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,
206,CAND_0044262,320.884000,applied_ml,3,recommendation,Data Scientist,6.9,upGrad,"Trivandrum, Kerala",True,63,0.730,90,True,0.0000,3.8730,0.0000,2.1602,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | OpenSearch assessment 42.5/100",profile states limited ownership of modeling or deployment | 90-day notice period,weak:repeated_role_description
207,CAND_0076995,320.884000,applied_ml,3,recommendation,AI Research Engineer,4.4,Haptik,"Coimbatore, Tamil Nadu",True,27,0.730,90,False,1.5200,2.7169,0.0000,1.9200,1.0000,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | TensorFlow assessment 81.6/100",profile states limited ownership of modeling or deployment | 90-day notice period,
208,CAND_0022415,320.868000,applied_ml,3,relevance_ownership,AI Research Engineer,3.2,Observe.AI,"Coimbatore, Tamil Nadu",True,52,0.710,45,True,2.1000,0.0000,0.0000,1.1602,1.3400,0.0000,Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard.,profile states limited ownership of modeling or deployment,
209,CAND_0062413,320.868000,applied_ml,3,relevance_ownership,AI Research Engineer,6.6,upGrad,"Mumbai, Maharashtra",True,56,0.710,60,False,2.1000,0.5808,0.0000,1.3400,1.9200,2.1000,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production. | BM25 assessment 72.6/100,profile states limited ownership of modeling or deployment,
210,CAND_0013111,320.860000,applied_ml,3,relevance_ownership,AI Research Engineer,4.2,Saarthi.ai,"Indore, Madhya Pradesh",True,30,0.700,60,False,1.4200,0.0000,0.0000,1.9200,1.9200,0.0000,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images.,profile states limited ownership of modeling or deployment,
211,CAND_0092989,320.852000,applied_ml,3,recommendation,Data Scientist,6.1,PharmEasy,Dubai,True,7,0.690,90,False,0.0000,2.2361,0.0000,1.9200,1.3400,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | TensorFlow assessment 52.4/100",profile states limited ownership of modeling or deployment | 90-day notice period,
212,CAND_0094685,320.844000,applied_ml,3,recommendation,AI Research Engineer,3.5,Krutrim,"Pune, Maharashtra",True,50,0.680,45,True,1.4200,2.2361,0.0000,1.9200,1.3400,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | MLflow assessment 82.0/100",profile states limited ownership of modeling or deployment,
213,CAND_0016267,320.836000,applied_ml,3,recommendation,AI Specialist,3.6,Freshworks,"Coimbatore, Tamil Nadu",True,15,0.670,120,False,0.1000,2.3361,0.0000,1.3400,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | PyTorch assessment 57.5/100",profile states limited ownership of modeling or deployment | 120-day notice period,weak:skill_duration_overrun
214,CAND_0064130,320.836000,applied_ml,3,recommendation,AI Research Engineer,6.7,Unacademy,"Chennai, Tamil Nadu",True,85,0.670,45,True,1.4200,2.5761,0.0000,1.9200,1.0000,1.0500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | PyTorch assessment 61.3/100",profile states limited ownership of modeling or deployment,weak:repeated_role_description
215,CAND_0021706,320.828000,applied_ml,3,recommendation,AI Specialist,6.2,TCS,New York,True,64,0.660,45,True,0.1000,2.8169,0.0000,1.9200,1.3400,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment,
216,CAND_0042056,320.828000,applied_ml,3,relevance_ownership,AI Research Engineer,3.4,Haptik,"Mumbai, Maharashtra",True,46,0.660,45,True,1.5200,0.4400,0.0000,1.9200,1.5800,0.0000,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production.,profile states limited ownership of modeling or deployment,weak:skill_duration_overrun | weak:repeated_role_description
217,CAND_0061352,320.828000,applied_ml,3,recommendation,ML Engineer,3.5,Glance,"Kochi, Kerala",True,5,0.660,90,False,0.0000,2.5761,0.0000,1.9200,1.5800,1.2000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Machine Learning assessment 87.7/100",profile states limited ownership of modeling or deployment | 90-day notice period,weak:skill_duration_overrun
218,CAND_0093331,320.828000,applied_ml,3,ml_platform,NLP Engineer,16.1,Genpact AI,"Kochi, Kerala",False,54,0.410,30,True,0.8202,1.1602,0.9200,2.9200,3.0608,1.0500,"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. | PyTorch assessment 73.0/100",not marked open to work,weak:repeated_role_description
219,CAND_0098952,320.828000,applied_ml,3,relevance_ownership,AI Research Engineer,5.5,CRED,"Gurgaon, Haryana",True,88,0.660,45,True,1.5200,1.3969,0.0000,1.9200,1.5800,1.6500,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production. | NLP assessment 86.7/100,profile states limited ownership of modeling or deployment,
220,CAND_0051466,320.820000,applied_ml,3,relevance_ownership,AI Research Engineer,5.3,Niramai,"Trivandrum, Kerala",True,49,0.650,60,False,1.5200,0.0000,0.0000,2.1602,1.3400,1.0500,Also ran some reinforcement learning experiments for dynamic pricing but those didn't make it to production. | Kubeflow assessment 84.5/100,profile states limited ownership of modeling or deployment,
221,CAND_0069638,320.812000,applied_ml,3,recommendation,Computer Vision Engineer,6.2,Swiggy,"Chennai, Tamil Nadu",True,33,0.640,30,True,0.6800,3.5330,0.0000,1.9200,1.5800,0.4500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Semantic Search assessment 53.1/100",profile states limited ownership of modeling or deployment,weak:repeated_role_description
222,CAND_0099751,320.812000,applied_ml,3,recommendation,Junior ML Engineer,5.5,Observe.AI,"Chennai, Tamil Nadu",True,40,0.640,120,True,0.0000,2.8250,0.0000,2.1602,1.0000,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,
223,CAND_0073620,320.804000,applied_ml,3,relevance_ownership,AI Research Engineer,4.4,TCS,"Noida, Uttar Pradesh",True,35,0.630,90,True,1.5200,1.7778,0.0000,1.9200,1.5800,1.2000,Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images. | Python assessment 67.5/100,profile states limited ownership of modeling or deployment | 90-day notice period,weak:salary_range_inverted
224,CAND_0080372,320.804000,applied_ml,3,recommendation,Computer Vision Engineer,5.2,Zoho,"Mumbai, Maharashtra",True,100,0.630,90,False,0.5800,2.5761,0.0000,2.3446,1.5800,1.3500,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Python assessment 53.1/100",profile states limited ownership of modeling or deployment | 90-day notice period,
225,CAND_0017648,320.796000,applied_ml,3,recommendation,AI Specialist,4.0,Freshworks,"Mumbai, Maharashtra",True,68,0.620,120,False,0.0000,3.5330,0.0000,1.9200,1.9200,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production.",profile states limited ownership of modeling or deployment | 120-day notice period,weak:repeated_role_description
226,CAND_0035315,320.796000,applied_ml,3,recommendation,Data Scientist,4.9,Zoho,New York,True,59,0.620,120,True,0.1000,2.3361,0.0000,1.9200,1.5800,2.1000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | PyTorch assessment 71.2/100",profile states limited ownership of modeling or deployment | 120-day notice period,
227,CAND_0046526,320.788000,applied_ml,3,recommendation,ML Engineer,5.5,Ola,Singapore,True,86,0.610,90,False,0.5800,2.2361,0.0000,1.9200,1.5800,0.6000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | FAISS assessment 73.4/100",profile states limited ownership of modeling or deployment | 90-day notice period,weak:activity_before_signup
228,CAND_0051486,320.780000,applied_ml,3,recommendation,AI Specialist,5.9,Aganitha,"Bhubaneswar, Odisha",True,73,0.600,120,False,0.0000,3.9730,0.0000,1.9200,1.5800,0.0000,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. | Forecasting assessment 57.4/100",profile states limited ownership of modeling or deployment | 120-day notice period,weak:repeated_role_description
